episode,algorithm,alpha,gamma,epsilon_min,epsilon_decay,epsilon,return,fill_rate,lost_sales,avg_inventory
101,q_learning,0.2,0.99,0.03,0.999,0.9038873549665952,-298.36260799999974,0.9595422966898243,99.0,83.01666666666667
102,q_learning,0.2,0.99,0.03,0.999,0.9029834676116286,30.47532800000018,0.9039530574428659,311.0,77.6
103,q_learning,0.2,0.99,0.03,0.999,0.902080484144017,-477.6662759999998,1.0,0.0,102.475
104,q_learning,0.2,0.99,0.03,0.999,0.901178403659873,112.55589200000014,0.937709809772473,167.0,77.40833333333333
105,q_learning,0.2,0.99,0.03,0.999,0.9002772252562131,661.9889240000005,0.8211343845610732,760.0,43.50833333333333
106,q_learning,0.2,0.99,0.03,0.999,0.8993769480309569,917.9395480000002,0.9174917491749175,325.0,63.791666666666664
107,q_learning,0.2,0.99,0.03,0.999,0.8984775710829259,-113.32629999999979,0.8324199596192674,581.0,63.725
108,q_learning,0.2,0.99,0.03,0.999,0.8975790935118431,-125.7627079999999,0.6636509851226378,1673.0,17.475
109,q_learning,0.2,0.99,0.03,0.999,0.8966815144183312,365.0205560000002,0.7416874010404886,1142.0,29.425
110,q_learning,0.2,0.99,0.03,0.999,0.8957848329039129,-59.44472000000006,0.9980476376415462,5.0,92.45
111,q_learning,0.2,0.99,0.03,0.999,0.894889048071009,-2.97382399999983,0.9102144674663759,247.0,88.61666666666666
112,q_learning,0.2,0.99,0.03,0.999,0.8939941590229379,361.6159400000001,0.9513641755634639,123.0,76.425
113,q_learning,0.2,0.99,0.03,0.999,0.893100164863915,248.9029360000004,1.0,0.0,91.08333333333333
114,q_learning,0.2,0.99,0.03,0.999,0.8922070646990511,-538.2359559999999,0.8486608583414005,469.0,83.525
115,q_learning,0.2,0.99,0.03,0.999,0.891314857634352,525.9611720000004,0.8885103747290183,360.0,64.49166666666666
116,q_learning,0.2,0.99,0.03,0.999,0.8904235427767176,431.26736400000027,0.8815114709851551,439.0,67.175
117,q_learning,0.2,0.99,0.03,0.999,0.889533119233941,172.8341360000002,0.9972189114024632,7.0,90.05
118,q_learning,0.2,0.99,0.03,0.999,0.8886435861147071,156.8285480000001,0.9582817017761256,101.0,85.025
119,q_learning,0.2,0.99,0.03,0.999,0.8877549425285923,-410.4330839999998,0.9267973856209151,168.0,94.04166666666667
120,q_learning,0.2,0.99,0.03,0.999,0.8868671875860638,-539.019908,0.9972362966374942,6.0,107.14166666666667
121,q_learning,0.2,0.99,0.03,0.999,0.8859803203984776,315.9791280000001,0.736420302760463,1184.0,31.1
122,q_learning,0.2,0.99,0.03,0.999,0.8850943400780792,483.9735560000004,0.9915129151291513,23.0,85.175
123,q_learning,0.2,0.99,0.03,0.999,0.8842092457380011,-187.06116799999958,0.8275862068965517,650.0,60.31666666666667
124,q_learning,0.2,0.99,0.03,0.999,0.8833250364922631,535.3913720000002,0.7348440828975402,1369.0,22.858333333333334
125,q_learning,0.2,0.99,0.03,0.999,0.8824417114557709,117.17832400000027,0.9058823529411765,296.0,70.35833333333333
126,q_learning,0.2,0.99,0.03,0.999,0.8815592697443151,690.6571120000003,0.7966877315319242,933.0,40.36666666666667
127,q_learning,0.2,0.99,0.03,0.999,0.8806777104745708,1188.8998680000004,0.8463377526624647,707.0,28.958333333333332
128,q_learning,0.2,0.99,0.03,0.999,0.8797970327640962,-9.372299999999887,0.9540622627182992,121.0,89.15833333333333
129,q_learning,0.2,0.99,0.03,0.999,0.8789172357313321,290.20850800000017,0.7444924406047516,1183.0,36.00833333333333
130,q_learning,0.2,0.99,0.03,0.999,0.8780383184956008,-33.934295999999854,0.945479641131815,158.0,87.96666666666667
131,q_learning,0.2,0.99,0.03,0.999,0.8771602801771051,251.85611200000017,0.8241664291821031,617.0,61.43333333333333
132,q_learning,0.2,0.99,0.03,0.999,0.8762831198969281,473.6746440000007,0.8529862174578867,576.0,54.49166666666667
